11:58:22.883 -> $52300;-0.00;-0.01;1.02;0.00;-0.01;1.01;-1.71;5.85;-0.06;-0.55;2.62;13.66;18.40;53.74;16.35;18.40;53.74;16.35;101524.75;21.62;0.06;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:22.977 -> $52400;-0.00;-0.01;1.02;-0.00;-0.01;1.02;4.33;0.98;11.89;-1.71;5.67;-1.16;19.30;52.47;16.53;19.30;52.47;16.53;101527.82;21.62;0.04;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:23.071 -> $52500;-0.00;-0.01;1.02;-0.01;-0.01;1.02;0.43;6.28;-6.10;-0.37;3.23;0.30;19.48;53.02;15.66;19.48;53.02;15.66;101527.21;21.62;0.04;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:23.210 -> $52600;-0.01;-0.01;1.01;-0.00;-0.01;1.02;0.98;-3.11;11.71;1.59;-4.94;-2.74;17.32;54.83;16.35;17.32;54.83;16.35;101527.63;21.62;0.04;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:23.303 -> $52700;-0.01;-0.01;1.01;-0.00;-0.01;1.01;7.01;6.46;4.94;1.95;4.02;-3.48;19.30;53.56;16.18;19.30;53.56;16.18;101525.08;21.62;0.06;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:23.397 -> $52800;-0.00;-0.01;1.01;-0.00;-0.01;1.02;2.74;8.48;-4.88;1.22;8.96;1.89;19.30;54.65;14.44;19.66;53.56;16.87;101526.35;21.62;0.05;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:23.491 -> $52900;-0.00;-0.01;1.02;-0.00;-0.01;1.02;-4.45;7.50;-4.15;0.79;8.11;5.49;19.30;55.74;15.83;17.50;54.29;15.48;101528.42;21.61;0.04;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:23.585 -> $53000;-0.00;-0.01;1.02;-0.01;-0.02;1.01;0.98;-0.85;2.80;4.51;8.72;-8.41;18.40;55.20;16.35;18.40;55.20;16.35;101527.92;21.62;0.04;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:23.679 -> $53100;-0.00;-0.01;1.02;-0.00;-0.01;1.01;-1.16;10.55;5.67;-0.18;2.20;4.21;21.47;53.20;15.83;21.47;53.20;15.83;101526.35;21.62;0.05;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:23.788 -> $53200;-0.00;-0.01;1.02;-0.01;-0.01;1.01;2.56;-8.35;-3.60;-3.29;18.29;-4.51;19.30;53.56;15.83;19.30;53.56;15.83;101532.36;21.62;0.01;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:23.902 -> $53300;-0.00;-0.01;1.02;0.00;-0.01;1.01;-1.52;7.87;4.21;0.61;-5.37;1.52;19.66;53.93;16.18;19.66;53.93;16.18;101529.60;21.62;0.03;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:23.995 -> $53400;-0.00;-0.02;1.02;-0.01;-0.01;1.02;-0.18;9.57;5.79;0.24;4.45;3.66;20.02;54.29;16.18;20.02;54.29;16.18;101528.66;21.62;0.04;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:24.089 -> $53500;-0.00;-0.01;1.02;-0.01;-0.01;1.01;-0.73;1.40;7.44;0.61;-3.29;8.29;19.48;54.47;15.66;19.48;54.47;15.66;101529.27;21.63;0.03;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:24.182 -> $53600;-0.01;-0.01;1.02;-0.00;-0.02;1.02;-3.29;0.37;0.49;0.43;-3.48;-3.60;18.22;53.93;17.57;19.66;54.29;16.18;101531.02;21.62;0.02;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:24.276 -> $53700;-0.00;-0.01;1.02;-0.01;-0.01;1.02;-2.68;3.60;3.66;-0.98;4.39;11.52;18.22;55.38;17.22;19.48;54.11;15.31;101527.64;21.62;0.04;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:24.370 -> $53800;-0.00;-0.01;1.01;-0.00;-0.01;1.02;-0.37;-4.94;-4.70;2.38;6.28;-7.01;18.58;54.65;15.83;18.58;54.65;15.83;101527.42;21.62;0.04;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
